"Function","Category","Subcategory","Informative References"
,,,"NIST SP 800-53 Rev. 4 PM-15, PM-16, SI-5"
,,"ID.RA-3: Threats, both internal and external, are identified and documented","COBIT 5 APO12.01, APO12.02, APO12.03, APO12.04"
,,,"ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12"
,,,"NIST SP 800-53 Rev. 4 RA-3, SI-5, PM-12, PM-16"
,,"ID.RA-4: Potential business impacts and likelihoods are identified","COBIT 5 DSS04.02"
,,,"ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12"
,,,"NIST SP 800-53 Rev. 4 RA-2, RA-3, PM-9, PM-11, SA-14"
,,"ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk","COBIT 5 APO12.02"
,,,"ISO/IEC 27001:2013 A.12.6.1"
,,,"NIST SP 800-53 Rev. 4 RA-2, RA-3, PM-16"
,,"ID.RA-6: Risk responses are identified and prioritized","COBIT 5 APO12.05, APO13.02"
,,,"NIST SP 800-53 Rev. 4 PM-4, PM-9"
,"Risk Management Strategy (ID.RM): The organization's priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.","ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders","COBIT 5 APO12.04, APO12.05, APO13.02, BAI02.03, BAI04.02 "
,,,"ISA 62443-2-1:2009 4.3.4.2"
,,,"NIST SP 800-53 Rev. 4 PM-9"
,,"ID.RM-2: Organizational risk tolerance is determined and clearly expressed","COBIT 5 APO12.06"
,,,"ISA 62443-2-1:2009 4.3.2.6.5"
,,,"NIST SP 800-53 Rev. 4 PM-9"
,,"ID.RM-3: The organization's determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis","NIST SP 800-53 Rev. 4 PM-8, PM-9, PM-11, SA-14"
"PROTECT (PR)","Access Control (PR.AC): Access to assets and associated facilities is limited to authorized users, processes, or devices, and to authorized activities and transactions.","PR.AC-1: Identities and credentials are managed for authorized devices and users","CCS CSC 16"
,,,"COBIT 5 DSS05.04, DSS06.03"
,,,"ISA 62443-2-1:2009 4.3.3.5.1"
,,,"ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.3, SR 1.4, SR 1.5, SR 1.7, SR 1.8, SR 1.9"
,,,"ISO/IEC 27001:2013 A.9.2.1, A.9.2.2, A.9.2.4, A.9.3.1, A.9.4.2, A.9.4.3"
,,,"NIST SP 800-53 Rev. 4 AC-2, IA Family"
,,"PR.AC-2: Physical access to assets is managed and protected","COBIT 5 DSS01.04, DSS05.05"
,,,"ISA 62443-2-1:2009 4.3.3.3.2, 4.3.3.3.8"
,,,"ISO/IEC 27001:2013 A.11.1.1, A.11.1.2, A.11.1.4, A.11.1.6, A.11.2.3 "
,,,"NIST SP 800-53 Rev. 4 PE-2, PE-3, PE-4, PE-5, PE-6, PE-9"
,,"PR.AC-3: Remote access is managed","COBIT 5 APO13.01, DSS01.04, DSS05.03"
,,,"ISA 62443-2-1:2009 4.3.3.6.6"
,,,"ISA 62443-3-3:2013 SR 1.13, SR 2.6"
,,,"ISO/IEC 27001:2013 A.6.2.2, A.13.1.1, A.13.2.1"
,,,"NIST SP 800-53 Rev. 4 AC‑17, AC-19, AC-20"
,,"PR.AC-4: Access permissions are managed, incorporating the principles of least privilege and separation of duties","CCS CSC 12, 15 "
,,,"ISA 62443-2-1:2009 4.3.3.7.3"
,,,"ISA 62443-3-3:2013 SR 2.1"
,,,"ISO/IEC 27001:2013 A.6.1.2, A.9.1.2, A.9.2.3, A.9.4.1, A.9.4.4"
,,,"NIST SP 800-53 Rev. 4 AC-2, AC-3, AC-5, AC-6, AC-16"
,,"PR.AC-5: Network integrity is protected, incorporating network segregation where appropriate","ISA 62443-2-1:2009 4.3.3.4"
,,,"ISA 62443-3-3:2013 SR 3.1, SR 3.8"
,,,"ISO/IEC 27001:2013 A.13.1.1, A.13.1.3, A.13.2.1"
,,,"NIST SP 800-53 Rev. 4 AC-4, SC-7"
,"Awareness and Training (PR.AT): The organization's personnel and partners are provided cybersecurity awareness education and are adequately trained to perform their information security-related duties and responsibilities consistent with related policies, procedures, and agreements.","PR.AT-1: All users are informed and trained ","CCS CSC 9"
,,,"COBIT 5 APO07.03, BAI05.07"
,,,"ISA 62443-2-1:2009 4.3.2.4.2"
,,,"ISO/IEC 27001:2013 A.7.2.2"
,,,"NIST SP 800-53 Rev. 4 AT-2, PM-13"
,,"PR.AT-2: Privileged users understand roles & responsibilities ","CCS CSC 9 "
,,,"COBIT 5 APO07.02, DSS06.03"
,,,"ISA 62443-2-1:2009 4.3.2.4.2, 4.3.2.4.3"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.7.2.2 "
,,,"NIST SP 800-53 Rev. 4 AT-3, PM-13"
,,"PR.AT-3: Third-party stakeholders (e.g., suppliers, customers, partners) understand roles & responsibilities ","CCS CSC 9"
,,,"COBIT 5 APO07.03, APO10.04, APO10.05"
,,,"ISA 62443-2-1:2009 4.3.2.4.2"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.7.2.2"
,,,"NIST SP 800-53 Rev. 4 PS-7, SA-9"
,,"PR.AT-4: Senior executives understand roles & responsibilities ","CCS CSC 9"
,,,"COBIT 5 APO07.03"
,,,"ISA 62443-2-1:2009 4.3.2.4.2"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.7.2.2, "
,,,"NIST SP 800-53 Rev. 4 AT-3, PM-13"
,,"PR.AT-5: Physical and information security personnel understand roles & responsibilities ","CCS CSC 9"
,,,"COBIT 5 APO07.03"
,,,"ISA 62443-2-1:2009 4.3.2.4.2"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.7.2.2, "
,,,"NIST SP 800-53 Rev. 4 AT-3, PM-13"
,"Data Security (PR.DS): Information and records (data) are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information.","PR.DS-1: Data-at-rest is protected","CCS CSC 17"
,,,"COBIT 5 APO01.06, BAI02.01, BAI06.01, DSS06.06"
,,,"ISA 62443-3-3:2013 SR 3.4, SR 4.1"
,,,"ISO/IEC 27001:2013 A.8.2.3"
,,,"NIST SP 800-53 Rev. 4 SC-28"
,,"PR.DS-2: Data-in-transit is protected","CCS CSC 17"
,,,"COBIT 5 APO01.06, DSS06.06"
,,,"ISA 62443-3-3:2013 SR 3.1, SR 3.8, SR 4.1, SR 4.2"
,,,"ISO/IEC 27001:2013 A.8.2.3, A.13.1.1, A.13.2.1, A.13.2.3, A.14.1.2, A.14.1.3"
,,,"NIST SP 800-53 Rev. 4 SC-8"
,,"PR.DS-3: Assets are formally managed throughout removal, transfers, and disposition","COBIT 5 BAI09.03"
,,,"ISA 62443-2-1:2009 4. 4.3.3.3.9, 4.3.4.4.1"
,,,"ISA 62443-3-3:2013 SR 4.2"
,,,"ISO/IEC 27001:2013 A.8.2.3, A.8.3.1, A.8.3.2, A.8.3.3, A.11.2.7"
,,,"NIST SP 800-53 Rev. 4 CM-8, MP-6, PE-16"
,,"PR.DS-4: Adequate capacity to ensure availability is maintained","COBIT 5 APO13.01"
,,,"ISA 62443-3-3:2013 SR 7.1, SR 7.2"
,,,"ISO/IEC 27001:2013 A.12.3.1"
,,,"NIST SP 800-53 Rev. 4 AU-4, CP-2, SC-5"
,,"PR.DS-5: Protections against data leaks are implemented","CCS CSC 17"
,,,"COBIT 5 APO01.06"
,,,"ISA 62443-3-3:2013 SR 5.2"
,,,"ISO/IEC 27001:2013 A.6.1.2, A.7.1.1, A.7.1.2, A.7.3.1, A.8.2.2, A.8.2.3, A.9.1.1, A.9.1.2, A.9.2.3, A.9.4.1, A.9.4.4, A.9.4.5, A.13.1.3, A.13.2.1, A.13.2.3, A.13.2.4, A.14.1.2, A.14.1.3"
,,,"NIST SP 800-53 Rev. 4 AC-4, AC-5, AC-6, PE-19, PS-3, PS-6, SC-7, SC-8, SC-13, SC-31, SI-4"
,,"PR.DS-6: Integrity checking mechanisms are used to verify software, firmware, and information integrity","ISA 62443-3-3:2013 SR 3.1, SR 3.3, SR 3.4, SR 3.8"
,,,"ISO/IEC 27001:2013 A.12.2.1, A.12.5.1, A.14.1.2, A.14.1.3"
,,,"NIST SP 800-53 Rev. 4 SI-7"
,,"PR.DS-7: The development and testing environment(s) are separate from the production environment","COBIT 5 BAI07.04"
,,,"ISO/IEC 27001:2013 A.12.1.4"
,,,"NIST SP 800-53 Rev. 4 CM-2"
,"Information Protection Processes and Procedures (PR.IP): Security policies (that address purpose, scope, roles, responsibilities, management commitment, and coordination among organizational entities), processes, and procedures are maintained and used to manage protection of information systems and assets.","PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained","CCS CSC 3, 10"
,,,"COBIT 5 BAI10.01, BAI10.02, BAI10.03, BAI10.05"
,,,"ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3"
,,,"ISA 62443-3-3:2013 SR 7.6"
,,,"ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4"
,,,"NIST SP 800-53 Rev. 4 CM-2, CM-3, CM-4, CM-5, CM-6, CM-7, CM-9, SA-10"
,,"PR.IP-2: A System Development Life Cycle to manage systems is implemented","COBIT 5 APO13.01"
,,,"ISA 62443-2-1:2009 4.3.4.3.3"
,,,"ISO/IEC 27001:2013 A.6.1.5, A.14.1.1, A.14.2.1, A.14.2.5"
,,,"NIST SP 800-53 Rev. 4 SA-3, SA-4, SA-8, SA-10, SA-11, SA-12, SA-15, SA-17, PL-8"
,,"PR.IP-3: Configuration change control processes are in place","COBIT 5 BAI06.01, BAI01.06"
,,,"ISA 62443-2-1:2009 4.3.4.3.2, 4.3.4.3.3"
,,,"ISA 62443-3-3:2013 SR 7.6"
,,,"ISO/IEC 27001:2013 A.12.1.2, A.12.5.1, A.12.6.2, A.14.2.2, A.14.2.3, A.14.2.4"
,,,"NIST SP 800-53 Rev. 4 CM-3, CM-4, SA-10"
,,"PR.IP-4: Backups of information are conducted, maintained, and tested periodically","COBIT 5 APO13.01 "
,,,"ISA 62443-2-1:2009 4.3.4.3.9"
,,,"ISA 62443-3-3:2013 SR 7.3, SR 7.4"
,,,"ISO/IEC 27001:2013 A.12.3.1, A.17.1.2A.17.1.3, A.18.1.3"
,,,"NIST SP 800-53 Rev. 4 CP-4, CP-6, CP-9"
,,"PR.IP-5: Policy and regulations regarding the physical operating environment for organizational assets are met","COBIT 5 DSS01.04, DSS05.05"
,,,"ISA 62443-2-1:2009 4.3.3.3.1 4.3.3.3.2, 4.3.3.3.3, 4.3.3.3.5, 4.3.3.3.6"
,,,"ISO/IEC 27001:2013 A.11.1.4, A.11.2.1, A.11.2.2, A.11.2.3"
,,,"NIST SP 800-53 Rev. 4 PE-10, PE-12, PE-13, PE-14, PE-15, PE-18"
,,"PR.IP-6: Data is destroyed according to policy","COBIT 5 BAI09.03"
,,,"ISA 62443-2-1:2009 4.3.4.4.4"
,,,"ISA 62443-3-3:2013 SR 4.2"
,,,"ISO/IEC 27001:2013 A.8.2.3, A.8.3.1, A.8.3.2, A.11.2.7"
,,,"NIST SP 800-53 Rev. 4 MP-6"
,,"PR.IP-7: Protection processes are continuously improved","COBIT 5 APO11.06, DSS04.05"
,,,"ISA 62443-2-1:2009 4.4.3.1, 4.4.3.2, 4.4.3.3, 4.4.3.4, 4.4.3.5, 4.4.3.6, 4.4.3.7, 4.4.3.8"
,,,"·      NIST SP 800-53 Rev. 4 CA-2, CA-7, CP-2, IR-8, PL-2, PM-6"
,,"PR.IP-8: Effectiveness of protection technologies is shared with appropriate parties","ISO/IEC 27001:2013 A.16.1.6 "
,,,"NIST SP 800-53 Rev. 4 AC-21, CA-7, SI-4"
,,"PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed","COBIT 5 DSS04.03"
,,,"ISA 62443-2-1:2009 4.3.2.5.3, 4.3.4.5.1 "
,,,"ISO/IEC 27001:2013 A.16.1.1, A.17.1.1, A.17.1.2"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-8"
,,"PR.IP-10: Response and recovery plans are tested","ISA 62443-2-1:2009 4.3.2.5.7, 4.3.4.5.11"
,,,"ISA 62443-3-3:2013 SR 3.3"
,,,"ISO/IEC 27001:2013 A.17.1.3"
,,,"NIST SP 800-53 Rev.4 CP-4, IR-3, PM-14"
,,"PR.IP-11: Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)","COBIT 5 APO07.01, APO07.02, APO07.03, APO07.04, APO07.05"
,,,"ISA 62443-2-1:2009 4.3.3.2.1, 4.3.3.2.2, 4.3.3.2.3"
,,,"ISO/IEC 27001:2013 A.7.1.1, A.7.3.1, A.8.1.4 "
,,,"NIST SP 800-53 Rev. 4 PS Family"
,,"PR.IP-12: A vulnerability management plan is developed and implemented","ISO/IEC 27001:2013 A.12.6.1, A.18.2.2"
,,,"NIST SP 800-53 Rev. 4 RA-3, RA-5, SI-2"
,"Maintenance (PR.MA): Maintenance and repairs of industrial control and information system components is performed consistent with policies and procedures.","PR.MA-1: Maintenance and repair of organizational assets is performed and logged in a timely manner, with approved and controlled tools","COBIT 5 BAI09.03"
,,,"ISA 62443-2-1:2009 4.3.3.3.7"
,,,"ISO/IEC 27001:2013 A.11.1.2, A.11.2.4, A.11.2.5"
,,,"NIST SP 800-53 Rev. 4 MA-2, MA-3, MA-5"
,,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access","COBIT 5 DSS05.04"
,,,"ISA 62443-2-1:2009 4.3.3.6.5, 4.3.3.6.6, 4.3.3.6.7, 4.4.4.6.8"
,,,"ISO/IEC 27001:2013 A.11.2.4, A.15.1.1, A.15.2.1"
,,,"NIST SP 800-53 Rev. 4 MA-4"
,"Protective Technology (PR.PT): Technical security solutions are managed to ensure the security and resilience of systems and assets, consistent with related policies, procedures, and agreements.","PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy","CCS CSC 14"
,,,"COBIT 5 APO11.04"
,,,"ISA 62443-2-1:2009 4.3.3.3.9, 4.3.3.5.8, 4.3.4.4.7, 4.4.2.1, 4.4.2.2, 4.4.2.4"
,,,"ISA 62443-3-3:2013 SR 2.8, SR 2.9, SR 2.10, SR 2.11, SR 2.12"
,,,"ISO/IEC 27001:2013 A.12.4.1, A.12.4.2, A.12.4.3, A.12.4.4, A.12.7.1 "
,,,"NIST SP 800-53 Rev. 4 AU Family"
,,"PR.PT-2: Removable media is protected and its use restricted according to policy","COBIT 5 DSS05.02, APO13.01"
,,,"ISA 62443-3-3:2013 SR 2.3"
,,,"ISO/IEC 27001:2013 A.8.2.2, A.8.2.3, A.8.3.1, A.8.3.3, A.11.2.9"
,,,"NIST SP 800-53 Rev. 4 MP-2, MP-4, MP-5, MP-7"
,,"PR.PT-3: Access to systems and assets is controlled, incorporating the principle of least functionality","COBIT 5 DSS05.02"
,,,"ISA 62443-2-1:2009 4.3.3.5.1, 4.3.3.5.2, 4.3.3.5.3, 4.3.3.5.4, 4.3.3.5.5, 4.3.3.5.6, 4.3.3.5.7, 4.3.3.5.8, 4.3.3.6.1, 4.3.3.6.2, 4.3.3.6.3, 4.3.3.6.4, 4.3.3.6.5, 4.3.3.6.6, 4.3.3.6.7, 4.3.3.6.8, 4.3.3.6.9, 4.3.3.7.1, 4.3.3.7.2, 4.3.3.7.3, 4.3.3.7.4"
,,,"ISA 62443-3-3:2013 SR 1.1, SR 1.2, SR 1.3, SR 1.4, SR 1.5, SR 1.6, SR 1.7, SR 1.8, SR 1.9, SR 1.10, SR 1.11, SR 1.12, SR 1.13, SR 2.1, SR 2.2, SR 2.3, SR 2.4, SR 2.5, SR 2.6, SR 2.7"
,,,"ISO/IEC 27001:2013 A.9.1.2"
,,,"NIST SP 800-53 Rev. 4 AC-3, CM-7"
,,"PR.PT-4: Communications and control networks are protected","CCS CSC 7"
,,,"COBIT 5 DSS05.02, APO13.01"
,,,"ISA 62443-3-3:2013 SR 3.1, SR 3.5, SR 3.8, SR 4.1, SR 4.3, SR 5.1, SR 5.2, SR 5.3, SR 7.1, SR 7.6"
,,,"ISO/IEC 27001:2013 A.13.1.1, A.13.2.1"
,,,"NIST SP 800-53 Rev. 4 AC-4, AC-17, AC-18, CP-8, SC-7"
"DETECT (DE)","Anomalies and Events (DE.AE): Anomalous activity is detected in a timely manner and the potential impact of events is understood.","DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed","COBIT 5 DSS03.01"
,,,"ISA 62443-2-1:2009 4.4.3.3"
,,,"NIST SP 800-53 Rev. 4 AC-4, CA-3, CM-2, SI-4"
,,"DE.AE-2: Detected events are analyzed to understand attack targets and methods","ISA 62443-2-1:2009 4.3.4.5.6, 4.3.4.5.7, 4.3.4.5.8"
,,,"ISA 62443-3-3:2013 SR 2.8, SR 2.9, SR 2.10, SR 2.11, SR 2.12, SR 3.9, SR 6.1, SR 6.2"
,,,"ISO/IEC 27001:2013 A.16.1.1, A.16.1.4"
,,,"NIST SP 800-53 Rev. 4 AU-6, CA-7, IR-4, SI-4"
,,"DE.AE-3: Event data are aggregated and correlated from multiple sources and sensors","ISA 62443-3-3:2013 SR 6.1"
,,,"NIST SP 800-53 Rev. 4 AU-6, CA-7, IR-4, IR-5, IR-8, SI-4"
,,"DE.AE-4: Impact of events is determined","COBIT 5 APO12.06"
,,,"NIST SP 800-53 Rev. 4 CP-2, IR-4, RA-3, SI -4"
,,"DE.AE-5: Incident alert thresholds are established","COBIT 5 APO12.06"
,,,"ISA 62443-2-1:2009 4.2.3.10"
,,,"NIST SP 800-53 Rev. 4 IR-4, IR-5, IR-8"
,"Security Continuous Monitoring (DE.CM): The information system and assets are monitored at discrete intervals to identify cybersecurity events and verify the effectiveness of protective measures.","DE.CM-1: The network is monitored to detect potential cybersecurity events","CCS CSC 14, 16"
,,,"COBIT 5 DSS05.07"
,,,"ISA 62443-3-3:2013 SR 6.2"
,,,"NIST SP 800-53 Rev. 4 AC-2, AU-12, CA-7, CM-3, SC-5, SC-7, SI-4"
,,"DE.CM-2: The physical environment is monitored to detect potential cybersecurity events","ISA 62443-2-1:2009 4.3.3.3.8"
,,,"NIST SP 800-53 Rev. 4 CA-7, PE-3, PE-6, PE-20"
,,"DE.CM-3: Personnel activity is monitored to detect potential cybersecurity events","ISA 62443-3-3:2013 SR 6.2"
,,,"ISO/IEC 27001:2013 A.12.4.1"
,,,"NIST SP 800-53 Rev. 4 AC-2, AU-12, AU-13, CA-7, CM-10, CM-11"
,,"DE.CM-4: Malicious code is detected","CCS CSC 5"
,,,"COBIT 5 DSS05.01"
,,,"ISA 62443-2-1:2009 4.3.4.3.8"
,,,"ISA 62443-3-3:2013 SR 3.2"
,,,"ISO/IEC 27001:2013 A.12.2.1"
,,,"NIST SP 800-53 Rev. 4 SI-3"
,,"DE.CM-5: Unauthorized mobile code is detected","ISA 62443-3-3:2013 SR 2.4"
,,,"ISO/IEC 27001:2013 A.12.5.1"
,,,"NIST SP 800-53 Rev. 4 SC-18, SI-4. SC-44"
,,"DE.CM-6: External service provider activity is monitored to detect potential cybersecurity events","COBIT 5 APO07.06"
,,,"ISO/IEC 27001:2013 A.14.2.7, A.15.2.1"
,,,"NIST SP 800-53 Rev. 4 CA-7, PS-7, SA-4, SA-9, SI-4"
,,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed","NIST SP 800-53 Rev. 4 AU-12, CA-7, CM-3, CM-8, PE-3, PE-6, PE-20, SI-4"
,,"DE.CM-8: Vulnerability scans are performed","COBIT 5 BAI03.10"
,,,"ISA 62443-2-1:2009 4.2.3.1, 4.2.3.7"
,,,"ISO/IEC 27001:2013 A.12.6.1"
,,,"NIST SP 800-53 Rev. 4 RA-5"
,"Detection Processes (DE.DP): Detection processes and procedures are maintained and tested to ensure timely and adequate awareness of anomalous events.","DE.DP-1: Roles and responsibilities for detection are well defined to ensure accountability","CCS CSC 5"
,,,"COBIT 5 DSS05.01"
,,,"ISA 62443-2-1:2009 4.4.3.1"
,,,"ISO/IEC 27001:2013 A.6.1.1"
,,,"NIST SP 800-53 Rev. 4 CA-2, CA-7, PM-14"
,,"DE.DP-2: Detection activities comply with all applicable requirements","ISA 62443-2-1:2009 4.4.3.2"
,,,"ISO/IEC 27001:2013 A.18.1.4"
,,,"NIST SP 800-53 Rev. 4 CA-2, CA-7, PM-14, SI-4"
,,"DE.DP-3: Detection processes are tested","COBIT 5 APO13.02"
,,,"ISA 62443-2-1:2009 4.4.3.2"
,,,"ISA 62443-3-3:2013 SR 3.3"
,,,"ISO/IEC 27001:2013 A.14.2.8"
,,,"NIST SP 800-53 Rev. 4 CA-2, CA-7, PE-3, PM-14, SI-3, SI-4"
,,"DE.DP-4: Event detection information is communicated to appropriate parties","COBIT 5 APO12.06"
,,,"ISA 62443-2-1:2009 4.3.4.5.9"
,,,"ISA 62443-3-3:2013 SR 6.1"
,,,"ISO/IEC 27001:2013 A.16.1.2"
,,,"NIST SP 800-53 Rev. 4 AU-6, CA-2, CA-7,  RA-5, SI-4"
,,"DE.DP-5: Detection processes are continuously improved","COBIT 5 APO11.06, DSS04.05"
,,,"ISA 62443-2-1:2009 4.4.3.4"
,,,"ISO/IEC 27001:2013 A.16.1.6"
,,,"NIST SP 800-53 Rev. 4, CA-2, CA-7, PL-2, RA-5, SI-4, PM-14"
"RESPOND (RS)","Response Planning (RS.RP): Response processes and procedures are executed and maintained, to ensure timely response to detected cybersecurity events.","RS.RP-1: Response plan is executed during or after an event","COBIT 5 BAI01.10"
,,,"CCS CSC 18"
,,,"ISA 62443-2-1:2009 4.3.4.5.1"
,,,"ISO/IEC 27001:2013 A.16.1.5"
,,,"NIST SP 800-53 Rev. 4 CP-2, CP-10, IR-4, IR-8 "
,"Communications (RS.CO): Response activities are coordinated with internal and external stakeholders, as appropriate, to include external support from law enforcement agencies.","RS.CO-1: Personnel know their roles and order of operations when a response is needed","ISA 62443-2-1:2009 4.3.4.5.2, 4.3.4.5.3, 4.3.4.5.4"
,,,"ISO/IEC 27001:2013 A.6.1.1, A.16.1.1 "
