FAMILY,NAME,TITLE,PRIORITY,BASELINE-IMPACT,DESCRIPTION,SUPPLEMENTAL GUIDANCE,RELATED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-1,ACCESS CONTROL POLICY AND PROCEDURES,P1,LOW,,,, and guidance. Security program policies and procedures at the organization level may make the need for system-specific policies and procedures unnecessary. The policy can be included as part of the general information security policy for organizations or conversely, can be represented by multiple policies reflecting the complex nature of certain organizations. The procedures can be established for the security program in general and for particular information systems," if needed. The organizational risk management strategy is a key factor in establishing policy and procedures.""	PM-9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (7),ROLE-BASED SCHEMES,,,The organization:,Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. These privileged roles include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-2 (7)(a),,,,Establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-2 (7)(b),,,,Monitors privileged role assignments; and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-2 (7)(c),,,,Takes [Assignment: organization-defined actions] when privileged role assignments are no longer appropriate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (8),DYNAMIC ACCOUNT CREATION,,,The information system creates [Assignment: organization-defined information system accounts] dynamically.,Dynamic approaches for creating information system accounts (e.g.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (9),RESTRICTIONS ON USE OF SHARED / GROUP ACCOUNTS,,,The organization only permits the use of shared/group accounts that meet [Assignment: organization-defined conditions for establishing shared/group accounts].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (10),SHARED / GROUP ACCOUNT CREDENTIAL TERMINATION,,,The information system terminates shared/group account credentials when members leave the group.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (11),USAGE CONDITIONS,,HIGH,The information system enforces [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined information system accounts].,Organizations can describe the specific conditions or circumstances under which information system accounts can be used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (12),ACCOUNT MONITORING / ATYPICAL USAGE,,HIGH,The organization:,Atypical usage includes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-2 (12)(a),,,,Monitors information system accounts for [Assignment: organization-defined atypical usage]; and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-2 (12)(b),,,,Reports atypical usage of information system accounts to [Assignment: organization-defined personnel or roles].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-2 (13),DISABLE ACCOUNTS FOR HIGH-RISK INDIVIDUALS,,HIGH,The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.,Users posing a significant risk to organizations include individuals for whom reliable evidence or intelligence indicates either the intention to use authorized access to information systems to cause harm or through whom adversaries will cause harm. Harm includes potential adverse impacts to organizational operations and assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3,ACCESS ENFORCEMENT,P1,LOW,,,, devices, files, records, domains) in information systems. In addition to enforcing authorized access at the information system level and recognizing that information systems can host many applications and services in support of organizational missions and business operations," access enforcement mechanisms can also be employed at the application and service level to provide increased information security.""	AC-2",AC-4,AC-5,AC-6,AC-16,AC-17,AC-18,AC-19,AC-20,AC-21,AC-22,AU-9,CM-5,CM-6,CM-11,MA-3,MA-4,MA-5,PE-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (1),RESTRICTED ACCESS TO PRIVILEGED FUNCTIONS,,,[Withdrawn: Incorporated into AC-6].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (2),DUAL AUTHORIZATION,,,The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,Dual authorization mechanisms require the approval of two authorized individuals in order to execute. Organizations do not require dual authorization mechanisms when immediate responses are necessary to ensure public and environmental safety. Dual authorization may also be known as two-person control.,CP-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (3),MANDATORY ACCESS CONTROL,,,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy:,Mandatory access control as defined in this control enhancement is synonymous with nondiscretionary access control,, law, Executive Order, directive, or regulation) that establishes a policy regarding access to sensitive/classified information and some users of the information system are not authorized access to all sensitive/classified information resident in the information system. This control can operate in conjunction with AC-3 (4). A subject that is constrained in its operation by policies governed by this control is still able to operate under the less rigorous constraints of AC-3 (4), but policies governed by this control take precedence over the less rigorous constraints of AC-3 (4). For example, while a mandatory access control policy imposes a constraint preventing a subject from passing information to another subject operating at a different sensitivity label," AC-3 (4) permits the subject to pass the information to any subject with the same sensitivity label as the subject.""	AC-25",SC-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(a),,,,Is uniformly enforced across all subjects and objects within the boundary of the information system;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b),,,,Specifies that a subject that has been granted access to information is constrained from doing any of the following;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b)(1),,,,Passing the information to unauthorized subjects or objects;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b)(2),,,,Granting its privileges to other subjects;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b)(3),,,,Changing one or more security attributes on subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b)(4),,,,Choosing the security attributes and attribute values to be associated with newly created or modified objects; or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(b)(5),,,,Changing the rules governing access control; and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (3)(c),,,,Specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges (i.e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (4),DISCRETIONARY ACCESS CONTROL,,,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can do one or more of the following:,When discretionary access control policies are implemented,," that limitation is not required for this use of discretionary access control.""	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (4)(a),,,,Pass the  information to any other subjects or objects;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (4)(b),,,,Grant its privileges to other subjects;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (4)(c),,,,Change security attributes on subjects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (4)(d),,,,Choose the security attributes to be associated with newly created or revised objects; or,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (4)(e),,,,Change the rules governing access control.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (5),SECURITY-RELEVANT INFORMATION,,,The information system prevents access to [Assignment: organization-defined security-relevant information] except during secure,,, the system is off-line for maintenance, troubleshooting, boot-up," shut down).""	CM-3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (6),PROTECTION OF USER AND SYSTEM INFORMATION,,,[Withdrawn: Incorporated into MP-4 and SC-28].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (7),ROLE-BASED ACCESS CONTROL,,,The information system enforces a role-based access control policy over defined subjects and objects and controls access based upon [Assignment: organization-defined roles and users authorized to assume such roles].,Role-based access control (RBAC) is an access control policy that restricts information system access to authorized users. Organizations can create specific roles based on job functions and the authorizations (i.e.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (8),REVOCATION OF ACCESS AUTHORIZATIONS,,,The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations].,Revocation of access rules may differ based on the types of access revoked. For example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (9),CONTROLLED RELEASE,,,The information system does not release information outside of the established system boundary unless:,Information systems can only protect organizational information within the confines of established system boundaries. Additional security safeguards may be needed to ensure that such information is adequately protected once it is passed beyond the established information system boundaries. Examples of information leaving the system boundary include transmitting information to an external information system or printing the information on one of its printers. In cases where the information system is unable to make a determination of the adequacy of the protections provided by entities outside its boundary,, if the information system passes information to another system controlled by another organization, technical means are employed to validate that the security attributes associated with the exported information are appropriate for the receiving system. Alternatively, if the information system passes information to a printer in organization-controlled space, procedural means can be employed to ensure that only appropriately authorized individuals gain access to the printer. This control enhancement is most applicable when there is some policy mandate (e.g., law, Executive Order, directive, or regulation) that establishes policy regarding access to the information," and that policy applies beyond the realm of a particular information system or organization.""	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (9)(a),,,,The receiving [Assignment: organization-defined information system or system component] provides [Assignment: organization-defined security safeguards]; and,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AC-3 (9)(b),,,,[Assignment: organization-defined security safeguards] are used to validate the appropriateness of the information designated for release.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-3 (10),AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,,,The organization employs an audited override of automated access control mechanisms under [Assignment: organization-defined conditions].,,AU-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4,INFORMATION FLOW ENFORCEMENT,P1,MODERATE,,,, for example: (i) prohibiting information transfers between interconnected systems (i.e., allowing access only); (ii) employing hardware mechanisms to enforce one-way information flows; and (iii) implementing trustworthy regrading mechanisms to reassign security attributes and security labels. Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations (e.g., networks, individuals, and devices) within information systems and between interconnected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices (e.g., gateways, routers, guards, encrypted tunnels, firewalls) that employ rule sets or establish configuration settings that restrict information system services, provide a packet-filtering capability based on header information, or message-filtering capability based on message content (e.g., implementing key word searches or using document characteristics). Organizations also consider the trustworthiness of filtering/inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 22 primarily address cross-domain solution needs which focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, for example," high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf information technology products.""	AC-3",AC-17,AC-19,AC-21,CM-6,CM-7,SA-8,SC-2,SC-5,SC-7,SC-18,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (1),OBJECT SECURITY ATTRIBUTES,,,The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information,,, but an information object labeled Top Secret would not be allowed to flow to a destination object labeled Secret. Security attributes can also include, for example, source and destination addresses employed in traffic filter firewalls. Flow enforcement using explicit security attributes can be used, for example," to control the release of certain types of information.""	AC-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (2),PROCESSING DOMAINS,,,The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.,Within information systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (3),DYNAMIC INFORMATION FLOW CONTROL,,,The information system enforces dynamic information flow control based on [Assignment: organization-defined policies].,Organizational policies regarding dynamic information flow control include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (4),CONTENT CHECK ENCRYPTED INFORMATION,,,The information system prevents encrypted information from bypassing content-checking mechanisms by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]].,,SI-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (5),EMBEDDED DATA TYPES,,,The information system enforces [Assignment: organization-defined limitations] on embedding data types within other data types.,Embedding data types within other data types may result in reduced flow control effectiveness. Data type embedding includes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (6),METADATA,,,The information system enforces information flow control based on [Assignment: organization-defined metadata].,Metadata is information used to describe the characteristics of data. Metadata can include structural metadata describing data structures (e.g.,, data integrity (i.e., protecting against unauthorized changes to metadata tags), and the binding of metadata to the data payload (i.e.," ensuring sufficiently strong binding techniques with appropriate levels of assurance).""	AC-16",SI-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (7),ONE-WAY FLOW MECHANISMS,,,The information system enforces [Assignment: organization-defined one-way information flows] using hardware mechanisms.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (8),SECURITY POLICY FILTERS,,,The information system enforces information flow control using [Assignment: organization-defined security policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows].,Organization-defined security policy filters can address data structures and content. For example,, video, or audio files); and (ii) textual objects that are based on written or printed languages (e.g., commercial off-the-shelf word processing documents, spreadsheets, or emails). Organizations can implement more than one security policy filter to meet information flow control objectives (e.g.," employing clean word lists in conjunction with dirty word lists may help to reduce false positives).""	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (9),HUMAN REVIEWS,,,The information system enforces the use of human reviews for [Assignment: organization-defined information flows] under the following conditions: [Assignment: organization-defined conditions].,Organizations define security policy filters for all situations where automated flow control decisions are possible. When a fully automated flow control decision is not possible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (10),ENABLE / DISABLE SECURITY POLICY FILTERS,,,The information system provides the capability for privileged administrators to enable/disable [Assignment: organization-defined security policy filters] under the following conditions: [Assignment: organization-defined conditions].,For example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (11),CONFIGURATION OF SECURITY POLICY FILTERS,,,The information system provides the capability for privileged administrators to configure [Assignment: organization-defined security policy filters] to support different security policies.,For example,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (12),DATA TYPE IDENTIFIERS,,,The information system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (13),DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS,,,The information system,,, attachments," and other security-related component differentiators.""	",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (14),SECURITY POLICY FILTER CONSTRAINTS,,,The information system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (15),DETECTION OF UNSANCTIONED INFORMATION,,,The information system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (16),INFORMATION TRANSFERS ON INTERCONNECTED SYSTEMS,,,[Withdrawn: Incorporated into AC-4].,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (17),DOMAIN AUTHENTICATION,,,The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization,,, sending, receiving," or disseminating information.""	IA-2",IA-3,IA-4,IA-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (18),SECURITY ATTRIBUTE BINDING,,,The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.,Binding techniques implemented by information systems affect the strength of security attribute binding to information. Binding strength and the assurance associated with binding techniques play an important part in the trust organizations have in the information flow enforcement process. The binding techniques affect the number and degree of additional reviews required by organizations.,AC-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (19),VALIDATION OF METADATA,,,The information system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (20),APPROVED SOLUTIONS,,,The organization employs [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment: organization-defined information] across security domains.,Organizations define approved solutions and configurations in cross-domain policies and guidance in accordance with the types of information flows across classification boundaries. The Unified Cross Domain Management Office (UCDMO) provides a baseline listing of approved cross-domain solutions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (21),PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS,,,The information system separates information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].,Enforcing the separation of information flows by type can enhance protection by ensuring that information is not commingled while in transit and by enabling flow control by transmission paths perhaps not otherwise achievable. Types of separable information include,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACCESS CONTROL,AC-4 (22),ACCESS ONLY,,,The information system provides access from a single device to computing platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
